#trap ID	x	y
TPCA01	393033	4775821
TPCA02	398735	4779059
TPCA03	403013	4775167
TPCA04	394116	4772353
TPCA05	398200	4773632
TPCA06	401650	4771520
TPCA07	406485	4772577
TPCA08	390596	4765004
TPCA09	398216	4767798
TPCA10	403968	4768951
TPCA11	405806	4765964
TPCA12	392295	4761591
TPCA13	397175	4761026
TPCA14	401646	4760260
TPCA15	398788	4756693
TPCA16	402215	4756784
TPCA17	405766	4755403
TPCA18	365713	4782940
TPCA19	373924	4780896
TPCA20	351056	4777235
TPCA21	357069	4777621
TPCA22	363443	4776830
TPCA23	369175	4776627
TPCA24	373116	4777721
TPCA25	377320	4777283
TPCA26	353873	4774260
TPCA27	358506	4770198
TPCA28	361951	4771589
TPCA29	366849	4772609
TPCA30	370332	4770411
TPCA31	375987	4772002
TPCA32	364440	4767950
TPCA33	368684	4767141
TPCA34	373719	4765460
TPCA35	378950	4766629
TPCA36	378641	4782133
TPCA37	381819	4780574
TPCA38	385775	4780592
TPCA39	391536	4782370
TPCA40	380494	4777102
TPCA41	388437	4777076
TPCA42	382414	4773397
TPCA43	389141	4771595
TPCA44	381639	4769414
TPCA45	386732	4769474
