#trap ID	x	y
IDTRAP001	152500.0046	4742500.013
IDTRAP002	152500.0046	4737500.013
IDTRAP003	152500.0046	4732500.013
IDTRAP004	152500.0046	4727500.013
IDTRAP005	157500.0046	4742500.013
IDTRAP006	157500.0046	4737500.013
IDTRAP007	157500.0046	4732500.013
IDTRAP008	157500.0046	4727500.013
IDTRAP009	162500.0046	4737500.013
IDTRAP010	162500.0046	4732500.013
IDTRAP011	162500.0046	4727500.013
IDTRAP012	162500.0046	4722500.013
IDTRAP013	162500.0046	4717500.013
IDTRAP014	162500.0046	4712500.013
IDTRAP015	162500.0046	4707500.013
IDTRAP016	167500.0046	4742500.013
IDTRAP017	167500.0046	4737500.013
IDTRAP018	167500.0046	4732500.013
IDTRAP019	167500.0046	4727500.013
IDTRAP020	167500.0046	4722500.013
IDTRAP021	167500.0046	4717500.013
IDTRAP022	167500.0046	4712500.013
IDTRAP023	167500.0046	4707500.013
IDTRAP024	172500.0046	4777500.013
IDTRAP025	172500.0046	4752500.013
IDTRAP026	172500.0046	4747500.013
IDTRAP027	172500.0046	4742500.013
IDTRAP028	172500.0046	4737500.013
IDTRAP029	172500.0046	4732500.013
IDTRAP030	172500.0046	4727500.013
IDTRAP031	172500.0046	4717500.013
IDTRAP032	172500.0046	4712500.013
IDTRAP033	172500.0046	4677500.013
IDTRAP034	172500.0046	4672500.013
IDTRAP035	177500.0046	4797500.013
IDTRAP036	177500.0046	4792500.013
IDTRAP037	177500.0046	4782500.013
IDTRAP038	177500.0046	4777500.013
IDTRAP039	177500.0046	4767500.013
IDTRAP040	177500.0046	4762500.013
IDTRAP041	177500.0046	4757500.013
IDTRAP042	177500.0046	4752500.013
IDTRAP043	177500.0046	4747500.013
IDTRAP044	177500.0046	4742500.013
IDTRAP045	177500.0046	4737500.013
IDTRAP046	177500.0046	4722500.013
IDTRAP047	177500.0046	4717500.013
IDTRAP048	177500.0046	4677500.013
IDTRAP049	177500.0046	4672500.013
IDTRAP050	182500.0046	4797500.013
IDTRAP051	182500.0046	4792500.013
IDTRAP052	182500.0046	4787500.013
IDTRAP053	182500.0046	4782500.013
IDTRAP054	182500.0046	4777500.013
IDTRAP055	182500.0046	4767500.013
IDTRAP056	182500.0046	4762500.013
IDTRAP057	182500.0046	4757500.013
IDTRAP058	182500.0046	4752500.013
IDTRAP059	182500.0046	4747500.013
IDTRAP060	182500.0046	4742500.013
IDTRAP061	182500.0046	4737500.013
IDTRAP062	182500.0046	4732500.013
IDTRAP063	182500.0046	4727500.013
IDTRAP064	187500.0046	4797500.013
IDTRAP065	187500.0046	4792500.013
IDTRAP066	187500.0046	4787500.013
IDTRAP067	187500.0046	4782500.013
IDTRAP068	187500.0046	4777500.013
IDTRAP069	187500.0046	4772500.013
IDTRAP070	187500.0046	4762500.013
IDTRAP071	187500.0046	4752500.013
IDTRAP072	187500.0046	4747500.013
IDTRAP073	187500.0046	4742500.013
IDTRAP074	187500.0046	4737500.013
IDTRAP075	187500.0046	4732500.013
IDTRAP076	192500.0046	4797500.013
IDTRAP077	192500.0046	4792500.013
IDTRAP078	192500.0046	4787500.013
IDTRAP079	192500.0046	4782500.013
IDTRAP080	192500.0046	4777500.013
IDTRAP081	192500.0046	4772500.013
IDTRAP082	192500.0046	4767500.013
IDTRAP083	192500.0046	4762500.013
IDTRAP084	192500.0046	4757500.013
IDTRAP085	192500.0046	4752500.013
IDTRAP086	192500.0046	4747500.013
IDTRAP087	192500.0046	4742500.013
IDTRAP088	192500.0046	4737500.013
IDTRAP089	192500.0046	4732500.013
IDTRAP090	192500.0046	4722500.013
IDTRAP091	197500.0046	4797500.013
IDTRAP092	197500.0046	4792500.013
IDTRAP093	197500.0046	4787500.013
IDTRAP094	197500.0046	4782500.013
IDTRAP095	197500.0046	4777500.013
IDTRAP096	197500.0046	4772500.013
IDTRAP097	197500.0046	4767500.013
IDTRAP098	197500.0046	4762500.013
IDTRAP099	197500.0046	4757500.013
IDTRAP100	197500.0046	4752500.013
IDTRAP101	197500.0046	4747500.013
IDTRAP102	197500.0046	4742500.013
IDTRAP103	197500.0046	4737500.013
IDTRAP104	197500.0046	4732500.013
IDTRAP105	202500.0046	4797500.013
IDTRAP106	202500.0046	4787500.013
IDTRAP107	202500.0046	4782500.013
IDTRAP108	202500.0046	4777500.013
IDTRAP109	202500.0046	4772500.013
IDTRAP110	202500.0046	4767500.013
IDTRAP111	202500.0046	4762500.013
IDTRAP112	202500.0046	4757500.013
IDTRAP113	202500.0046	4752500.013
IDTRAP114	202500.0046	4747500.013
IDTRAP115	202500.0046	4742500.013
IDTRAP116	202500.0046	4737500.013
IDTRAP117	202500.0046	4732500.013
IDTRAP118	202500.0046	4722500.013
IDTRAP119	202500.0046	4717500.013
IDTRAP120	207500.0046	4797500.013
IDTRAP121	207500.0046	4792500.013
IDTRAP122	207500.0046	4787500.013
IDTRAP123	207500.0046	4782500.013
IDTRAP124	207500.0046	4777500.013
IDTRAP125	207500.0046	4772500.013
IDTRAP126	207500.0046	4767500.013
IDTRAP127	207500.0046	4762500.013
IDTRAP128	207500.0046	4757500.013
IDTRAP129	207500.0046	4752500.013
IDTRAP130	207500.0046	4747500.013
IDTRAP131	207500.0046	4742500.013
IDTRAP132	207500.0046	4737500.013
IDTRAP133	207500.0046	4732500.013
IDTRAP134	207500.0046	4727500.013
IDTRAP135	207500.0046	4677500.013
IDTRAP136	212500.0046	4797500.013
IDTRAP137	212500.0046	4792500.013
IDTRAP138	212500.0046	4787500.013
IDTRAP139	212500.0046	4782500.013
IDTRAP140	212500.0046	4777500.013
IDTRAP141	212500.0046	4772500.013
IDTRAP142	212500.0046	4767500.013
IDTRAP143	212500.0046	4762500.013
IDTRAP144	212500.0046	4757500.013
IDTRAP145	212500.0046	4752500.013
IDTRAP146	212500.0046	4747500.013
IDTRAP147	212500.0046	4742500.013
IDTRAP148	212500.0046	4737500.013
IDTRAP149	212500.0046	4732500.013
IDTRAP150	212500.0046	4727500.013
IDTRAP151	212500.0046	4722500.013
IDTRAP152	212500.0046	4707500.013
IDTRAP153	212500.0046	4692500.013
IDTRAP154	212500.0046	4682500.013
IDTRAP155	212500.0046	4677500.013
IDTRAP156	217500.0046	4797500.013
IDTRAP157	217500.0046	4792500.013
IDTRAP158	217500.0046	4787500.013
IDTRAP159	217500.0046	4782500.013
IDTRAP160	217500.0046	4777500.013
IDTRAP161	217500.0046	4772500.013
IDTRAP162	217500.0046	4767500.013
IDTRAP163	217500.0046	4762500.013
IDTRAP164	217500.0046	4757500.013
IDTRAP165	217500.0046	4752500.013
IDTRAP166	217500.0046	4747500.013
IDTRAP167	217500.0046	4742500.013
IDTRAP168	217500.0046	4737500.013
IDTRAP169	217500.0046	4732500.013
IDTRAP170	217500.0046	4727500.013
IDTRAP171	217500.0046	4717500.013
IDTRAP172	217500.0046	4707500.013
IDTRAP173	217500.0046	4682500.013
IDTRAP174	217500.0046	4677500.013
IDTRAP175	222500.0046	4792500.013
IDTRAP176	222500.0046	4782500.013
IDTRAP177	222500.0046	4772500.013
IDTRAP178	222500.0046	4767500.013
IDTRAP179	222500.0046	4762500.013
IDTRAP180	222500.0046	4757500.013
IDTRAP181	222500.0046	4752500.013
IDTRAP182	222500.0046	4747500.013
IDTRAP183	222500.0046	4742500.013
IDTRAP184	222500.0046	4737500.013
IDTRAP185	222500.0046	4732500.013
IDTRAP186	222500.0046	4707500.013
IDTRAP187	222500.0046	4677500.013
IDTRAP188	227500.0046	4792500.013
IDTRAP189	227500.0046	4787500.013
IDTRAP190	227500.0046	4782500.013
IDTRAP191	227500.0046	4777500.013
IDTRAP192	227500.0046	4772500.013
IDTRAP193	227500.0046	4767500.013
IDTRAP194	227500.0046	4762500.013
IDTRAP195	227500.0046	4757500.013
